JobID,Network Id,Existing 035a,Incoming 035a,Action
CEF_1012688_1748084545832::bib::1001122,994538620405151,11187575,11187575,match
CEF_1012688_1748084545832::bib::1002414,991757329105151,12086511,12086511,match
CEF_1012688_1748084545832::bib::1003567,991824890405151,71368904,71368904,match
CEF_1012688_1748084545832::bib::100371,994538621805151,81252738,81252738,match
CEF_1012688_1748084545832::bib::1004404,992472752505151,9878046,9878046,match
CEF_1012688_1748084545832::bib::1006016,992867297205151,313629966,313629966,match
CEF_1012688_1748084545832::bib::1007302,991867076105151,10696852,10696852,match
CEF_1012688_1748084545832::bib::1008439,991601454305151,6096010,6096010,match
CEF_1012688_1748084545832::bib::1010966,992305419805151,141842319,141842319,match
CEF_1012688_1748084545832::bib::1011939,992363216805151,137325292,137325292,match
CEF_1012688_1748084545832::bib::1013118,991576886005151,11621599,11621599,match
CEF_1012688_1748084545832::bib::1014145,992884110805151,1044250884,1056457557,match
CEF_1012688_1748084545832::bib::1016102,992859391005151,10923580,10923580,match
CEF_1012688_1748084545832::bib::1017061,992109411005151,10996004,10996004,match
CEF_1012688_1748084545832::bib::1018577,991710102905151,12137906,12137906,match
CEF_1012688_1748084545832::bib::1020593,992877281805151,1044282895,1036052412,match
CEF_1012688_1748084545832::bib::1022592,992849602805151,692539108,692539108,match
CEF_1012688_1748084545832::bib::1025994,991827114805151,173807193,1520929291,create
CEF_1012688_1748084545832::bib::1028309,992877640605151,1044565118,1044565118,match
CEF_1012688_1748084545832::bib::1032952,994282507205151,7090235,7090235,match
CEF_1012688_1748084545832::bib::1034670,992857525005151,456178398,456178398,match
CEF_1012688_1748084545832::bib::103541,994538621705151,32039292,32039292,match
CEF_1012688_1748084545832::bib::1036241,992194333305151,164108739,1083319075,match
CEF_1012688_1748084545832::bib::1037860,992303982305151,555653955,555653955,match
CEF_1012688_1748084545832::bib::1038557,992872893805151,678680396,122280999,match
CEF_1012688_1748084545832::bib::1040478,991662857005151,56922271,56922271,match
CEF_1012688_1748084545832::bib::1041299,992851977005151,4926962,4926962,match
CEF_1012688_1748084545832::bib::1043459,992880725705151,223524671,223524671,match
CEF_1012688_1748084545832::bib::1045151,992860206405151,15701260,15701260,match
CEF_1012688_1748084545832::bib::1046955,992863338505151,1044085106,1044085106,match
CEF_1012688_1748084545832::bib::1048587,992859536605151,972876242,972876242,match
CEF_1012688_1748084545832::bib::1051513,992885461305151,156911840,156911840,match
CEF_1012688_1748084545832::bib::1052369,992450826005151,11158095,11158095,match
CEF_1012688_1748084545832::bib::1053253,992323564605151,15907871,15907871,match
CEF_1012688_1748084545832::bib::1054303,991633029005151,10850380,10850380,match
CEF_1012688_1748084545832::bib::1055158,991489676305151,15953692,15953692,match
CEF_1012688_1748084545832::bib::1056561,992867578005151,461277025,461277025,match
CEF_1012688_1748084545832::bib::105793,994538621605151,33418005,33418005,match
CEF_1012688_1748084545832::bib::1058703,992865178605151,40484490,40484490,match
CEF_1012688_1748084545832::bib::1060382,992870354405151,606770152,606770152,match
CEF_1012688_1748084545832::bib::1061834,992875576605151,1027571071,531098294,match
CEF_1012688_1748084545832::bib::1062914,992412989305151,10687564,10687564,match
CEF_1012688_1748084545832::bib::1063995,991421899605151,81252738,81252738,match
CEF_1012688_1748084545832::bib::1064787,991923965405151,6222310,6222310,match
CEF_1012688_1748084545832::bib::1066855,992872861205151,556202983,556202983,match
CEF_1012688_1748084545832::bib::1067694,992886505205151,5263776,5263776,match
CEF_1012688_1748084545832::bib::1068405,992865445805151,60071071,60071071,match
CEF_1012688_1748084545832::bib::1069142,992209723605151,50500172,50500172,match
CEF_1012688_1748084545832::bib::1069938,991871465505151,53019602,53019602,match
